"movie_title","release_date","genre","mpaa_rating","total_gross","inflation_adjusted_gross"
"The Finest Hours","Jan 29, 2016","Thriller/Suspense","PG","$27,569,558","$27,569,558"
"Zootopia","Mar 4, 2016","Adventure","PG","$341,268,248","$341,268,248"
"The Jungle Book","Apr 15, 2016","Adventure","PG","$364,001,123","$364,001,123"
"A Beautiful Planet","Apr 29, 2016","Documentary","G","$7,895,708","$7,895,708"
"Captain America: Civil War","May 6, 2016","Action","PG-13","$408,084,349","$408,084,349"
"Alice Through the Looking Glass","May 27, 2016","Adventure","PG","$77,042,381","$77,042,381"
"Finding Dory","Jun 17, 2016","Adventure","PG","$486,295,561","$486,295,561"
"The BFG","Jul 1, 2016","Adventure","PG","$55,483,770","$55,483,770"
"Pete’s Dragon","Aug 12, 2016","Adventure","PG","$76,233,151","$76,233,151"
"The Light Between Oceans","Sep 2, 2016","Drama","PG-13","$12,545,979","$12,545,979"
"Queen of Katwe","Sep 23, 2016","Drama","PG","$8,874,389","$8,874,389"
"Doctor Strange","Nov 4, 2016","Adventure","PG-13","$232,532,923","$232,532,923"
"Moana","Nov 23, 2016","Adventure","PG","$246,082,029","$246,082,029"
"Rogue One: A Star Wars Story","Dec 16, 2016","Adventure","PG-13","$529,483,936","$529,483,936"
